Year,Length,Title,Subject,Actor,Actress,Director,Popularity,Awards,Rating_imdb
1990,111,Tie Me Up! Tie Me Down!,Comedy,Banderas Antonio,Abril Victoria,Almodóvar Pedro,68.0,No,7.0
1991,113,High Heels,Comedy,Bosé Miguel,Abril Victoria,Almodóvar Pedro,68.0,No,7.1
1963,109,Donovan's Reef,Comedy,Wayne John,Allen Elizabeth,Ford John,62.0,No,6.9
1988,110,Tucker: The Man & His Dream,Drama,Bridges Jeff,Allen Joan,Coppola Francis Ford,68.0,No,6.9
1981,116,Raiders of the Lost Ark,Action,Ford Harrison,Allen Karen,Spielberg Steven,8.0,No,8.4
1985,97,After Hours,Comedy,Dunne Griffin,Arquette Rosanna,Scorsese Martin,81.0,No,7.7
1982,115,E. T. The Extra-Terrestrial,Science Fiction,Wallace Dee,Barrymore Drew,Spielberg Steven,8.0,Yes,7.8
1982,108,King of Comedy,Drama,De Niro Robert,Bernhard Sandra,Scorsese Martin,84.0,No,7.8
1973,105,High Plains Drifter,Western,Eastwood Clint,Bloom Verna,Eastwood Clint,57.0,No,7.5
1982,123,Honkytonk Man,Drama,Eastwood Clint,Bloom Verna,Eastwood Clint,69.0,No,6.6
1989,146,Good Fellas,Drama,De Niro Robert,Bracco Lorraine,Scorsese Martin,15.0,No,8.7
1990,121,Rookie THe,Action,Eastwood Clint,Braga Sonia,Eastwood Clint,48.0,No,5.9
1952,109,What Price Glory?,War,Cagney James,Calvet Corinne,Ford John,4.0,No,6.3
1963,138,8 1/2,Drama,Mastroianni Marcello,Cardinale Claudia,Fellini Federico,80.0,Yes,0.0
1961,66,Tonight for Sure,Comedy,Lee Karla,Cornell Laura,Coppola Francis Ford,4.0,No,3.1
1990,110,White Hunter Black Heart,Adventure,Eastwood Clint,Cornwell Charlotte,Eastwood Clint,66.0,No,6.6
1991,95,Night Gallery,Horror,McDowall Roddy,Crawford Joan,Spielberg Steven,31.0,No,8.0
1971,74,People The,Drama,Shatner William,Darby Kim,Coppola Francis Ford,36.0,No,6.3
1942,18,Battle of Midway The,War,Crisp Donald,Darwell Jane,Ford John,75.0,No,7.5
1948,103,Three Godfathers,Western,Wayne John,Darwell Jane,Ford John,72.0,No,7.1
1946,97,My Darling Clementine,Western,Fonda Henry,Downs Cathy,Ford John,12.0,No,7.8
1950,86,Wagon Master,Western,Johnson Ben,Dru Joanne,Ford John,30.0,No,7.1
1949,93,She Wore a Yellow Ribbon,Western,Wayne John,Dru Joanne,Ford John,84.0,No,7.3
1980,144,Shining The,Horror,Nicholson Jack,Duvall Shelley,Kubrick Stanley,32.0,No,8.4
1961,140,La Dolce Vita,Drama,Mastroianni Marcello,Ekberg Anita,Fellini Federico,20.0,No,8.0
1972,129,Roma,Drama,Gonzales Peter,Florence Fiona,Fellini Federico,75.0,No,8.7
1979,120,Nineteen Forty-One,Comedy,Belushi John,Gary Lorraine,Spielberg Steven,24.0,No,7.2
1975,124,Jaws,Action,Scheider Roy,Gary Lorraine,Spielberg Steven,6.0,No,8.0
1959,102,Horse Soldiers The,Western,Wayne John,Gibson Althea,Ford John,76.0,No,7.2
1990,126,Bonfire of the Vanities The,Drama,Hanks Tom,Griffith Melanie,De Palma Brian,82.0,No,5.6
1991,136,Terminator 2,Action,Schwarzenegger Arnold,Hamilton Linda,Cameron James,8.0,No,8.5
